cgpa,branch_code,internship_count,project_count,certification_count,skill_count,placement_probability,placed,salary
8.096056984,2,1,1,5,4,45.35593582,0,5.2
7.334082839,5,3,3,3,6,61.83550082,1,8.27
8.179335392,4,1,8,9,2,61.58663068,1,7
6.65465586,5,7,2,8,3,60.66227199,1,8.82
9.653137012,5,3,6,7,5,73.68819454,1,10.16
8.19682745,5,2,5,5,9,69.48994123,1,8.77
8.204228513,5,2,5,5,4,65.4142835,1,8.72
10,1,3,7,13,6,68.36547937,1,6.64
8.001742226,3,2,7,4,7,59.6581374,1,6.44
5.236166345,0,0,2,5,4,29.2133033,0,2.5
8.039728846,4,2,9,2,6,62.31184181,1,7.62
9.634709213,1,3,3,7,2,53.19074132,1,6.26
5.641405584,5,2,4,2,1,45.76743553,0,6
7.088245123,5,3,3,6,5,60.29318274,1,8.39
8.035547218,1,1,2,2,3,41.53968937,0,4.68
8.863490781,4,1,6,7,4,65.70348865,1,8.29
7.259754125,3,0,2,7,10,57.05706462,1,5.12
9.929665198,5,5,6,5,9,80.17000911,1,12.34
5.223903336,5,4,7,3,4,57.74198219,1,7.29
8.218911991,3,3,10,9,1,60.71390094,1,7.16
9.319479988,0,3,2,7,6,53.96780129,1,5.32
7.874950177,1,5,2,8,6,53.10641237,1,5.73
7.939917895,5,4,4,2,5,62.97987728,1,9.38
6.372144256,5,2,3,6,6,55.61345705,1,6.69
6.574696151,3,1,2,8,6,52.73426888,0,4.9
8.191409519,4,3,4,4,2,57.87679742,1,8.52
7.843176199,3,3,4,5,5,55.03898677,0,6.38
9.639735402,3,2,7,10,7,71.97021754,1,7.52
5.266908143,4,2,3,7,4,49.01868373,0,5.65
8.696328082,5,4,6,8,8,72.73192165,1,10.45
6.776822634,5,1,3,8,2,51.62622767,1,6.93
9.062219002,0,5,5,9,8,60.15133487,1,5.6
7.362187177,5,1,5,4,7,58.55233096,1,7.39
7.686043948,5,1,5,9,6,64.74242516,1,7.95
6.872732375,4,2,4,6,8,58.6450706,1,6.69
8.758811071,5,2,2,6,6,67.06388606,1,9.29
5.274257035,0,1,2,8,6,36.67035678,0,2.77
6.312500331,4,3,5,4,8,58.29665751,1,6.6
7.127585261,3,3,2,4,8,54.32320068,1,6.24
7.638821786,1,4,4,12,4,54.2787211,1,5.37
7.458378135,4,3,7,5,7,65.96956118,1,8.27
7.781057679,5,4,4,4,10,70.13141806,1,8.99
8.333713237,5,4,9,4,8,75.46256915,1,10.24
6.227007845,1,1,4,7,5,41.88047945,0,3.57
