cgpa,branch_code,internship_count,project_count,certification_count,skill_count,placement_probability,placed,salary
9.29641466,5,5,6,7,6,82.98163498,1,10.9
9.231398082,5,6,8,8,9,89.0929203,1,10.87
9.303511561,2,8,5,10,4,76.72579098,1,7.38
8.738920394,3,5,6,9,8,75.79751714,1,8.09
8.977302842,5,5,8,11,12,89.19331167,1,10.8
8.983084595,3,14,5,4,6,76.81053785,1,8.27
7.949431121,4,4,4,8,5,69.11088309,1,8.36
9.365801879,5,10,5,4,11,88.09945626,1,10.96
8.779434858,2,7,10,6,7,75.60043166,1,7.15
9.54894295,2,4,6,5,10,73.12028334,1,7.13
9.113787487,5,15,8,14,12,96.72989177,1,10.85
9.017131834,5,14,2,7,3,79.68338341,1,10.5
6.9842385,2,3,4,6,6,55.39794242,0,5.31
9.084161767,4,12,2,6,11,80.96400315,1,9.77
9.827081345,5,6,10,7,11,92.6698978,1,11.46
8.718615942,3,5,7,10,12,79.71685288,1,7.9
9.671117075,1,12,8,8,7,80.00530943,1,6.81
9.540288833,5,4,7,4,4,79.96917509,1,10.34
8.728614339,4,3,5,10,8,75.60376317,1,8.65
9.402681802,5,2,9,6,11,82.04235624,1,9.32
9.257395838,4,15,10,7,12,90.18327572,1,10.24
9.302438626,4,10,8,7,13,89.74874253,1,10.04
9.423480023,1,7,10,6,9,77.05797208,1,6.73
9.04180505,3,2,5,14,6,71.12067983,1,7.03
9.029123627,5,9,8,11,11,95.47833091,1,10.79
8.892456662,2,3,4,9,3,63.354367,1,6.48
7.283593835,1,11,5,8,7,65.11121044,1,5.61
8.845557885,4,9,9,8,7,86.92525043,1,9.69
9.596864053,2,16,3,7,8,76.76911261,1,7.66
7.608800969,3,2,6,5,13,64.39368432,0,6
8.788274939,4,4,7,6,8,76.9295027,1,9.17
9.838638283,4,8,11,10,5,90.88506768,1,10.39
9.728478234,3,4,3,12,6,74.92669441,1,8.22
9.623534691,0,3,6,12,10,68.77778701,1,5.42
9.122967465,1,10,5,8,6,72.27049593,1,6.45
9.248652729,0,7,8,8,5,71.08750329,1,5.7
8.013576678,5,3,5,3,6,70.06160629,1,8.64
9.023174045,5,14,7,15,8,93.29801564,1,10.88
8.465506393,3,2,5,7,5,64.10045918,1,6.61
9.591485084,4,15,5,11,7,88.56560714,1,10.35
